18396.816, 1.2365, 1.2189
18395.148, 0.7817, 0.6773
18397.283, 0.7923, 0.7009
18399.418, 1.0208, 0.7420
18401.551, 0.8925, 0.8872
18403.689, 0.9499, 0.7446
18405.824, 0.7117, 0.5204
18407.959, 1.1676, 0.9396
18410.094, 1.0098, 0.8034
18412.231, 0.6488, 0.6576
18414.366, 1.0909, 0.8613
18416.501, 0.9568, 0.7819
18418.636, 0.7480, 0.5869
18420.771, 1.1748, 0.9363
18422.908, 0.7786, 0.6602
18425.043, 0.6340, 0.6068
18427.178, 0.9292, 0.7311
18429.313, 0.8737, 0.8388
18431.450, 0.9893, 0.7797
18433.585, 0.8766, 0.7701
18435.720, 0.8337, 0.7424
18437.857, 0.7576, 0.6576
18439.990, 0.7696, 0.6808
18442.127, 0.9800, 0.7453
18444.264, 0.9187, 0.7577
18446.397, 0.8216, 0.7356
18448.532, 0.8286, 0.8052
18450.671, 0.6519, 0.5527
18452.804, 0.8404, 0.6055
18454.939, 0.9265, 0.6321
18457.076, 0.7847, 0.6277
18459.209, 0.6384, 0.5702
18461.346, 0.7077, 0.5333
18463.483, 0.7279, 0.5635
18465.616, 0.9314, 0.7529
18467.753, 0.7303, 0.9348
18469.889, 0.8220, 0.9159
18472.023, 0.8997, 0.8935
18474.159, 0.8477, 0.6062
18476.294, 0.9254, 0.8069
18478.428, 0.8247, 0.8425
18480.566, 0.9565, 0.9102
18482.701, 0.8186, 0.6691
18484.834, 0.8510, 0.7394
18486.971, 0.7687, 0.8207
18489.108, 1.0096, 0.9568
18491.243, 1.0474, 0.8871
18493.378, 0.8460, 0.7014
18495.513, 0.7721, 0.7207
18497.650, 0.7618, 0.8177
18499.785, 0.8951, 0.7911
18501.920, 0.7433, 0.6969
18504.055, 0.8934, 0.8717
18506.190, 0.7541, 0.9381
18508.327, 0.8528, 0.8296
18510.462, 0.8191, 0.7131
18512.597, 0.9781, 0.8962
18514.732, 1.1492, 1.0704
18516.869, 0.8687, 0.8464
18519.004, 1.0674, 1.0317
18521.141, 0.8880, 0.9119
18523.274, 0.9863, 0.9479
18525.409, 0.9992, 0.9614
18527.547, 0.9143, 0.8156
18529.681, 1.0165, 0.8636
18531.816, 1.0446, 0.8652
18533.953, 1.0684, 1.0144
18536.088, 0.8506, 0.7638
18538.223, 0.7153, 0.5917
18540.359, 1.0008, 0.8190
18542.493, 0.9040, 0.8013
18544.628, 0.9347, 0.8105
18546.766, 0.7572, 0.6673
18548.899, 0.7349, 0.6989
